group,variable,value
4,29,62.29074311
5,29,66.27330473
6,29,70.49356495
7,29,70.45632255
8,29,68.58028439
9,29,66.13374426
10,29,69.9384158
11,29,66.98376337
12,29,66.27562132
13,29,66.74464127
14,29,65.77025654
15,29,65.83624924
16,29,65.82642542
17,29,65.07682937
18,29,66.11726327
19,29,64.10234453
20,29,64.78188728
21,29,62.64371164
22,29,63.2653235
23,29,62.34909301
0,30,60.84098501
1,30,61.46146576
2,30,60.41485658
3,30,61.20014039
4,30,63.72150866
5,30,67.21971187
6,30,68.12538965
7,30,67.96354779
8,30,71.66572504
9,30,75.00423325
10,30,72.2880671
11,30,67.88768813
12,30,70.44295579
13,30,67.80558664
14,30,67.82885654
15,30,65.99670994
16,30,65.31566249
17,30,66.79118746
18,30,64.45448758
19,30,63.72999602
20,30,64.69011733
21,30,67.39386922
22,30,71.06858345
23,30,63.40716845
